round,accuracy,f1,precision,recall,num_benign,num_borderline,num_suspect,mean_trust
1,0.7759,0.8464753031444817,0.7338163677396365,1.0,47,17,7,0.6040971534468861
2,0.6364,0.7726363181590795,0.6295088648868963,1.0,46,20,6,0.613851256751727
3,0.9961,0.9968535699878983,0.9937268779153933,1.0,46,23,4,0.6152979753844998
4,0.9619,0.9700871476799875,0.9419118768104894,1.0,41,26,6,0.6129541646547323
5,1.0,1.0,1.0,1.0,46,9,13,0.6290578403269106
6,1.0,1.0,1.0,1.0,40,23,5,0.6220354810200356
7,1.0,1.0,1.0,1.0,51,6,17,0.6134171524976346
8,1.0,1.0,1.0,1.0,51,14,8,0.6468815592712648
9,1.0,1.0,1.0,1.0,47,9,19,0.6038582395421869
10,1.0,1.0,1.0,1.0,37,8,18,0.5842424680023551
11,1.0,1.0,1.0,1.0,51,10,14,0.6442687819616736
12,1.0,1.0,1.0,1.0,44,5,18,0.5856499385269026
13,1.0,1.0,1.0,1.0,42,23,7,0.6009307068807848
14,1.0,1.0,1.0,1.0,32,13,25,0.5233657417111763
15,1.0,1.0,1.0,1.0,53,7,16,0.6515559668522402
16,1.0,1.0,1.0,1.0,47,6,21,0.584929708336473
17,1.0,1.0,1.0,1.0,36,13,22,0.5359007938292883
18,1.0,1.0,1.0,1.0,42,27,7,0.6092693027418047
19,1.0,1.0,1.0,1.0,29,15,24,0.5224032444946761
20,1.0,1.0,1.0,1.0,34,14,25,0.5256881607456323
21,1.0,1.0,1.0,1.0,48,3,20,0.6192031641733794
22,1.0,1.0,1.0,1.0,34,12,24,0.5294041842470439
23,1.0,1.0,1.0,1.0,29,9,39,0.4570917145816953
24,1.0,1.0,1.0,1.0,30,12,28,0.4857920522193109
25,1.0,1.0,1.0,1.0,47,4,19,0.6140704031084503
