round,accuracy,f1,precision,recall,num_benign,num_borderline,num_suspect,mean_trust
1,0.6263,0.7702145975527269,0.6263,1.0,44,16,9,0.6117721470126317
2,0.98095,0.9850194629025282,0.9704811342682266,1.0,49,18,8,0.5950196511101474
3,0.8614,0.9003737780333524,0.8187998431167473,1.0,44,22,7,0.6108332563034985
4,1.0,1.0,1.0,1.0,49,19,8,0.6086521521285132
5,1.0,1.0,1.0,1.0,46,17,9,0.6242270264856038
6,1.0,1.0,1.0,1.0,43,27,7,0.621414591330832
7,1.0,1.0,1.0,1.0,49,7,23,0.5904158092995613
8,0.9987,0.998963234707712,0.9979286169534736,1.0,48,2,21,0.6111411254566482
9,1.0,1.0,1.0,1.0,54,9,17,0.6040437135785479
10,1.0,1.0,1.0,1.0,25,15,38,0.4415349636492692
11,1.0,1.0,1.0,1.0,45,11,20,0.5697407387469392
12,1.0,1.0,1.0,1.0,45,11,19,0.5797219294947727
13,1.0,1.0,1.0,1.0,13,43,16,0.45850987494356044
14,1.0,1.0,1.0,1.0,29,9,41,0.445397698856666
15,1.0,1.0,1.0,1.0,42,14,21,0.5588770445707374
16,1.0,1.0,1.0,1.0,32,13,27,0.48832590428968825
17,1.0,1.0,1.0,1.0,30,19,23,0.47998619640636647
18,1.0,1.0,1.0,1.0,41,14,22,0.5380534307790026
19,1.0,1.0,1.0,1.0,22,14,41,0.4265825718750698
20,1.0,1.0,1.0,1.0,15,37,22,0.4561050404324688
21,1.0,1.0,1.0,1.0,28,7,40,0.4383153113800668
22,1.0,1.0,1.0,1.0,33,17,28,0.47659692796919045
23,1.0,1.0,1.0,1.0,32,7,39,0.4515687778725959
24,1.0,1.0,1.0,1.0,40,12,23,0.5141597557921652
25,1.0,1.0,1.0,1.0,32,9,28,0.4952082904710734
