round,accuracy,f1,precision,recall,num_benign,num_borderline,num_suspect,mean_trust
1,0.6178,0.7637532451477316,0.6178,1.0,54,10,8,0.6421073737325563
2,0.61885,0.7642492655017783,0.6184493718404325,1.0,46,22,5,0.6324708442484194
3,0.75905,0.8368155497612678,0.7194177583697234,1.0,49,22,5,0.6390978294808628
4,0.82935,0.8786488888888889,0.7835626862832139,1.0,48,21,6,0.6484848937077765
5,0.99945,0.9995550701775674,0.9991105361041481,1.0,43,21,5,0.6478309405711025
6,0.9991,0.999272139102305,0.998545336996929,1.0,46,19,7,0.6471011634061848
7,0.99985,0.9998786162249647,0.9997572619143944,1.0,46,24,5,0.6473549983294747
8,1.0,1.0,1.0,1.0,49,21,6,0.6596733759213953
9,1.0,1.0,1.0,1.0,52,18,7,0.6636461351921608
10,1.0,1.0,1.0,1.0,44,6,18,0.6359426429393116
11,1.0,1.0,1.0,1.0,61,9,6,0.6835411076694374
12,1.0,1.0,1.0,1.0,43,20,7,0.6536505034334308
13,1.0,1.0,1.0,1.0,46,23,6,0.6451369268044158
14,1.0,1.0,1.0,1.0,43,14,17,0.6086186170610683
15,1.0,1.0,1.0,1.0,59,11,7,0.685005126775705
16,1.0,1.0,1.0,1.0,47,4,25,0.6327154239295533
17,1.0,1.0,1.0,1.0,55,12,6,0.6875727309250828
18,1.0,1.0,1.0,1.0,49,4,24,0.6164014631493502
19,1.0,1.0,1.0,1.0,55,9,6,0.688096939523014
20,1.0,1.0,1.0,1.0,48,3,25,0.6101340335012775
21,1.0,1.0,1.0,1.0,41,8,23,0.5536333521771865
22,1.0,1.0,1.0,1.0,53,4,14,0.6730678546508656
23,1.0,1.0,1.0,1.0,47,6,26,0.5899796899093208
24,1.0,1.0,1.0,1.0,40,13,18,0.6056745331251099
25,1.0,1.0,1.0,1.0,49,6,18,0.6174687654707954
