round,accuracy,f1,precision,recall,num_benign,num_borderline,num_suspect,mean_trust
1,0.6263,0.7702145975527269,0.6263,1.0,51,14,4,0.6543607407199569
2,0.9029,0.9280580869822923,0.8657727398396461,1.0,55,18,4,0.6527071324327646
3,0.8737,0.9084052505620421,0.8321817698644698,1.0,52,17,4,0.6577725104021269
4,0.99775,0.9982069570068136,0.9964203325113357,1.0,54,17,5,0.6681060853496447
5,1.0,1.0,1.0,1.0,53,17,4,0.6779671938532987
6,0.9972,0.9977696351760394,0.9955491972659355,1.0,65,9,3,0.6776039858204241
7,1.0,1.0,1.0,1.0,59,16,4,0.6881840819206566
8,1.0,1.0,1.0,1.0,54,12,5,0.683024215418375
9,1.0,1.0,1.0,1.0,53,21,5,0.6759820941418685
10,1.0,1.0,1.0,1.0,53,10,12,0.6690202069250712
11,1.0,1.0,1.0,1.0,58,14,4,0.6853267366322452
12,1.0,1.0,1.0,1.0,55,17,5,0.6749140442787341
13,1.0,1.0,1.0,1.0,53,15,4,0.6812553662270815
14,1.0,1.0,1.0,1.0,55,17,6,0.666903599832485
15,1.0,1.0,1.0,1.0,55,17,5,0.6849743969507924
16,1.0,1.0,1.0,1.0,49,18,5,0.675567172284166
17,1.0,1.0,1.0,1.0,47,18,6,0.6887651443843954
18,1.0,1.0,1.0,1.0,50,8,19,0.6547967715837162
19,1.0,1.0,1.0,1.0,49,22,6,0.6441704331432511
20,1.0,1.0,1.0,1.0,44,13,18,0.6315092848887596
21,1.0,1.0,1.0,1.0,52,16,6,0.6808036451228902
22,1.0,1.0,1.0,1.0,44,12,21,0.6064046629302272
23,1.0,1.0,1.0,1.0,61,14,4,0.6792227288432151
24,1.0,1.0,1.0,1.0,45,12,17,0.6442926745445956
25,1.0,1.0,1.0,1.0,42,8,20,0.621509865736369
