round,accuracy,f1,precision,recall,num_benign,num_borderline,num_suspect,mean_trust
1,0.61705,0.7631798645681952,0.61705,1.0,58,8,9,0.6434328730083756
2,0.61705,0.7631798645681952,0.61705,1.0,54,15,7,0.635259719234536
3,0.6238,0.7663789356020617,0.6212433929020891,1.0,49,17,5,0.6446329725065175
4,0.72635,0.8185043939645166,0.6927697316717188,1.0,46,17,9,0.6305223800481486
5,0.99755,0.9980186810076422,0.996045197740113,1.0,49,20,6,0.6398982310734733
6,0.98585,0.9886641297816945,0.9775823827629911,1.0,58,12,7,0.6564420049366902
7,0.98725,0.9897742310622769,0.9797554779295015,1.0,48,14,9,0.6572147273428613
8,0.99965,0.9997164729231641,0.9994331065759637,1.0,52,16,6,0.664658559138068
9,0.9995,0.9995950105297262,0.9991903489595985,1.0,47,17,8,0.6528077475972646
10,1.0,1.0,1.0,1.0,41,12,16,0.6270280088948016
11,1.0,1.0,1.0,1.0,47,19,11,0.6368247259691749
12,1.0,1.0,1.0,1.0,43,16,15,0.6365475436420056
13,1.0,1.0,1.0,1.0,47,15,16,0.636043295963961
14,1.0,1.0,1.0,1.0,44,10,24,0.5826883272234076
15,1.0,1.0,1.0,1.0,48,20,9,0.6543216746840841
16,1.0,1.0,1.0,1.0,42,4,30,0.5546419730130064
17,1.0,1.0,1.0,1.0,55,10,7,0.670902653488964
18,1.0,1.0,1.0,1.0,39,10,21,0.5600056255414305
19,1.0,1.0,1.0,1.0,9,57,4,0.4611911250996697
20,1.0,1.0,1.0,1.0,40,13,25,0.5233127938064719
21,1.0,1.0,1.0,1.0,37,25,17,0.49719257937651823
22,1.0,1.0,1.0,1.0,45,8,25,0.5548235491061655
23,1.0,1.0,1.0,1.0,29,18,28,0.46773057557147646
24,1.0,1.0,1.0,1.0,37,24,17,0.4928820753898553
25,1.0,1.0,1.0,1.0,26,12,33,0.42819756683895965
