round,accuracy,f1,precision,recall,num_benign,num_borderline,num_suspect,mean_trust
1,0.6263,0.7702145975527269,0.6263,1.0,51,13,4,0.6575444020292013
2,0.8319,0.8816780460336454,0.7883937562940584,1.0,54,19,2,0.6571342666403028
3,0.8889,0.918530468578133,0.849335503119067,1.0,53,14,5,0.6634336985234097
4,0.99755,0.9980478865383849,0.99610337972167,1.0,53,17,4,0.6759386777041291
5,1.0,1.0,1.0,1.0,53,17,4,0.6779786535021981
6,0.99925,0.9994016037020784,0.9988039231321266,1.0,65,11,3,0.6762355621758672
7,1.0,1.0,1.0,1.0,60,15,4,0.6954444639340418
8,1.0,1.0,1.0,1.0,58,8,5,0.6859547519307934
9,1.0,1.0,1.0,1.0,57,20,5,0.6814805583076479
10,1.0,1.0,1.0,1.0,56,16,5,0.6847726599617394
11,1.0,1.0,1.0,1.0,56,17,4,0.6894210262965382
12,1.0,1.0,1.0,1.0,53,18,5,0.6869752524195052
13,1.0,1.0,1.0,1.0,52,16,4,0.6842991047614915
14,1.0,1.0,1.0,1.0,57,17,6,0.6656130412718946
15,1.0,1.0,1.0,1.0,61,15,3,0.6998025762758272
16,1.0,1.0,1.0,1.0,49,14,11,0.6578817624352612
17,1.0,1.0,1.0,1.0,60,9,4,0.7039306109821128
18,1.0,1.0,1.0,1.0,51,8,18,0.6686867641085901
19,1.0,1.0,1.0,1.0,50,23,6,0.637690326612774
20,1.0,1.0,1.0,1.0,49,13,14,0.6420970404940562
21,1.0,1.0,1.0,1.0,52,7,14,0.6662848161558272
22,1.0,1.0,1.0,1.0,46,9,23,0.600382975036876
23,1.0,1.0,1.0,1.0,59,15,7,0.6732995145376394
24,1.0,1.0,1.0,1.0,50,9,17,0.646033041615517
25,1.0,1.0,1.0,1.0,51,16,4,0.6748844684430819
