round,accuracy,f1,precision,recall,num_benign,num_borderline,num_suspect,mean_trust
1,0.61705,0.7631798645681952,0.61705,1.0,52,6,17,0.5966866463220117
2,0.61705,0.7631798645681952,0.61705,1.0,39,21,18,0.5529198026407198
3,0.87985,0.9112793058888684,0.8370184481823114,1.0,35,19,19,0.536976679514463
4,0.67815,0.793148880105402,0.6572052401746725,1.0,45,15,14,0.5745754991615746
5,1.0,1.0,1.0,1.0,41,13,20,0.5552920224378998
6,0.75505,0.8343869375612725,0.7158352668213457,1.0,54,9,16,0.6117041906000656
7,0.9998,0.99983796483837,0.9996759821790199,1.0,42,12,19,0.5613226376491349
8,1.0,1.0,1.0,1.0,25,22,25,0.4585839724077063
9,0.9391,0.952972972972973,0.9101703665462054,1.0,52,7,16,0.6151611726982701
10,1.0,1.0,1.0,1.0,44,7,20,0.5532432740601434
11,0.97155,0.9774662389608333,0.9559256390395042,1.0,40,16,23,0.5044407691090348
12,1.0,1.0,1.0,1.0,36,14,23,0.5116275848931056
13,0.9989,0.9991094559585492,0.9982204966432096,1.0,21,36,23,0.46189624580157485
14,1.0,1.0,1.0,1.0,39,14,26,0.5058521000488703
15,0.9997,0.9997569669475048,0.9995140519964364,1.0,21,29,30,0.465071623693193
16,1.0,1.0,1.0,1.0,29,16,29,0.46093909083811563
17,0.99615,0.9968900197907831,0.9937993235625705,1.0,40,17,20,0.5291483705949235
18,1.0,1.0,1.0,1.0,33,19,24,0.4913538941878416
19,1.0,1.0,1.0,1.0,21,28,24,0.43970042985830493
20,1.0,1.0,1.0,1.0,26,13,42,0.44263468048225246
21,1.0,1.0,1.0,1.0,24,26,28,0.4395021415037076
22,1.0,1.0,1.0,1.0,25,16,36,0.4342829642530396
23,1.0,1.0,1.0,1.0,19,29,29,0.4390963216537893
24,1.0,1.0,1.0,1.0,23,26,27,0.4396925314199399
25,1.0,1.0,1.0,1.0,22,10,43,0.42028330865329716
