round,accuracy,f1,precision,recall,num_benign,num_borderline,num_suspect,mean_trust
1,0.6263,0.7702145975527269,0.6263,1.0,43,9,16,0.5820175240581087
2,0.9279,0.9455725824715031,0.8967640320733105,1.0,44,10,21,0.5673659441555786
3,0.88975,0.9191033495982683,0.8503156608512661,1.0,39,22,11,0.5857244220095851
4,1.0,1.0,1.0,1.0,44,7,23,0.5614868116011464
5,0.7724,0.8462369950006756,0.7334582503806066,1.0,49,3,22,0.6030316622394117
6,1.0,1.0,1.0,1.0,47,13,19,0.5723053388923183
7,0.9779,0.9826625872754374,0.965916101172116,1.0,44,12,23,0.5479778680698691
8,1.0,1.0,1.0,1.0,37,15,19,0.5333250945409036
9,1.0,1.0,1.0,1.0,29,11,42,0.4458884260766248
10,0.99405,0.9952723372134599,0.9905891656781336,1.0,47,17,13,0.5838238878979832
11,1.0,1.0,1.0,1.0,42,15,20,0.5438932293211993
12,1.0,1.0,1.0,1.0,34,19,23,0.4998294563375057
13,1.0,1.0,1.0,1.0,34,10,28,0.5072607425408764
14,1.0,1.0,1.0,1.0,44,18,18,0.5550015613905631
15,1.0,1.0,1.0,1.0,38,14,27,0.5121002568338716
16,0.99955,0.9996408762619209,0.9992820103709613,1.0,43,15,16,0.5577558247003759
17,1.0,1.0,1.0,1.0,32,12,29,0.4947274412557602
18,1.0,1.0,1.0,1.0,18,28,31,0.42975446146264357
19,1.0,1.0,1.0,1.0,20,33,26,0.45133808745925025
20,1.0,1.0,1.0,1.0,20,32,24,0.44430530831492004
21,1.0,1.0,1.0,1.0,18,16,39,0.43415683777924846
22,0.99995,0.9999600846206043,0.9999201724275565,1.0,38,14,26,0.5037084221570596
23,1.0,1.0,1.0,1.0,37,10,34,0.5015933191285659
24,1.0,1.0,1.0,1.0,36,14,26,0.4805404489565065
25,1.0,1.0,1.0,1.0,29,8,34,0.4689882216599609
