round,accuracy,f1,precision,recall,num_benign,num_borderline,num_suspect,mean_trust
1,0.61705,0.7631798645681952,0.61705,1.0,60,8,6,0.6661612719318551
2,0.61705,0.7631798645681952,0.61705,1.0,56,13,6,0.6518211448891713
3,0.6173,0.7632978723404256,0.6172043010752688,1.0,54,12,6,0.6574021161105651
4,0.7477,0.8302610333692142,0.7097831713349054,1.0,52,12,6,0.6570330409320864
5,0.9675,0.9743407547765672,0.9499653606342853,1.0,56,11,7,0.6656777920131898
6,0.9282,0.9450187610077342,0.8957683095013428,1.0,64,6,7,0.6774156608460937
7,0.9936,0.9948407900040306,0.9897345416633251,1.0,58,8,7,0.6914981263779927
8,0.99975,0.9997974642524405,0.9995950105297262,1.0,56,10,8,0.679857028332516
9,0.9986,0.9988668555240793,0.9977362761743067,1.0,62,5,6,0.6927550542973112
10,1.0,1.0,1.0,1.0,47,15,7,0.6686097800004479
11,1.0,1.0,1.0,1.0,52,18,7,0.6637758042411116
12,1.0,1.0,1.0,1.0,62,7,6,0.6998530900273401
13,1.0,1.0,1.0,1.0,50,16,14,0.6596056669037643
14,1.0,1.0,1.0,1.0,60,11,8,0.683296391586194
15,1.0,1.0,1.0,1.0,62,10,6,0.7007726626778723
16,1.0,1.0,1.0,1.0,48,20,7,0.6637373561563934
17,1.0,1.0,1.0,1.0,60,6,6,0.6837145621490422
18,1.0,1.0,1.0,1.0,44,18,11,0.6348923770323154
19,1.0,1.0,1.0,1.0,49,12,11,0.6239096843208414
20,1.0,1.0,1.0,1.0,51,6,21,0.6147136207533312
21,1.0,1.0,1.0,1.0,49,15,17,0.5826605519794874
22,1.0,1.0,1.0,1.0,51,6,20,0.6445889494738093
23,1.0,1.0,1.0,1.0,35,17,24,0.5007884239491373
24,1.0,1.0,1.0,1.0,29,20,28,0.46523632471556103
25,1.0,1.0,1.0,1.0,33,11,27,0.478401987136093
