block,method,attack,rho,alpha,spoof,seed,round,accuracy,f1,precision,recall
amftas,amfta_s,label_flipping,0.10,0.50,0.00,456,12,1.0,1.0,1.0,1.0
amftas,amfta_s,label_flipping,0.10,0.50,0.00,456,13,1.0,1.0,1.0,1.0
amftas,amfta_s,label_flipping,0.10,0.50,0.00,456,14,1.0,1.0,1.0,1.0
amftas,amfta_s,label_flipping,0.10,0.50,0.00,456,15,1.0,1.0,1.0,1.0
amftas,amfta_s,label_flipping,0.10,0.50,0.00,456,16,1.0,1.0,1.0,1.0
amftas,amfta_s,label_flipping,0.10,0.50,0.00,456,17,1.0,1.0,1.0,1.0
amftas,amfta_s,label_flipping,0.10,0.50,0.00,456,18,1.0,1.0,1.0,1.0
amftas,amfta_s,label_flipping,0.10,0.50,0.00,456,19,1.0,1.0,1.0,1.0
amftas,amfta_s,label_flipping,0.10,0.50,0.00,456,20,1.0,1.0,1.0,1.0
amftas,amfta_s,label_flipping,0.10,0.50,0.00,456,21,1.0,1.0,1.0,1.0
amftas,amfta_s,label_flipping,0.10,0.50,0.00,456,22,1.0,1.0,1.0,1.0
amftas,amfta_s,label_flipping,0.10,0.50,0.00,456,23,1.0,1.0,1.0,1.0
amftas,amfta_s,label_flipping,0.10,0.50,0.00,456,24,1.0,1.0,1.0,1.0
amftas,amfta_s,label_flipping,0.10,0.50,0.00,456,25,1.0,1.0,1.0,1.0
amftas,amfta_s,label_flipping,0.20,0.50,0.00,42,1,0.8817,0.9126227934116258,0.8392881401983426,1.0
amftas,amfta_s,label_flipping,0.20,0.50,0.00,42,2,0.63405,0.7715026068496145,0.628005082592122,1.0
amftas,amfta_s,label_flipping,0.20,0.50,0.00,42,3,0.99865,0.9989086058450221,0.9978195913752725,1.0
amftas,amfta_s,label_flipping,0.20,0.50,0.00,42,4,0.95655,0.9660294750009772,0.9342911153119092,1.0
amftas,amfta_s,label_flipping,0.20,0.50,0.00,42,5,1.0,1.0,1.0,1.0
amftas,amfta_s,label_flipping,0.20,0.50,0.00,42,6,1.0,1.0,1.0,1.0
amftas,amfta_s,label_flipping,0.20,0.50,0.00,42,7,1.0,1.0,1.0,1.0
amftas,amfta_s,label_flipping,0.20,0.50,0.00,42,8,1.0,1.0,1.0,1.0
amftas,amfta_s,label_flipping,0.20,0.50,0.00,42,9,1.0,1.0,1.0,1.0
amftas,amfta_s,label_flipping,0.20,0.50,0.00,42,10,1.0,1.0,1.0,1.0
amftas,amfta_s,label_flipping,0.20,0.50,0.00,42,11,1.0,1.0,1.0,1.0
amftas,amfta_s,label_flipping,0.20,0.50,0.00,42,12,1.0,1.0,1.0,1.0
amftas,amfta_s,label_flipping,0.20,0.50,0.00,42,13,1.0,1.0,1.0,1.0
amftas,amfta_s,label_flipping,0.20,0.50,0.00,42,14,1.0,1.0,1.0,1.0
amftas,amfta_s,label_flipping,0.20,0.50,0.00,42,15,1.0,1.0,1.0,1.0
amftas,amfta_s,label_flipping,0.20,0.50,0.00,42,16,1.0,1.0,1.0,1.0
amftas,amfta_s,label_flipping,0.20,0.50,0.00,42,17,1.0,1.0,1.0,1.0
amftas,amfta_s,label_flipping,0.20,0.50,0.00,42,18,1.0,1.0,1.0,1.0
amftas,amfta_s,label_flipping,0.20,0.50,0.00,42,19,1.0,1.0,1.0,1.0
amftas,amfta_s,label_flipping,0.20,0.50,0.00,42,20,1.0,1.0,1.0,1.0
amftas,amfta_s,label_flipping,0.20,0.50,0.00,42,21,1.0,1.0,1.0,1.0
amftas,amfta_s,label_flipping,0.20,0.50,0.00,42,22,1.0,1.0,1.0,1.0
amftas,amfta_s,label_flipping,0.20,0.50,0.00,42,23,1.0,1.0,1.0,1.0
amftas,amfta_s,label_flipping,0.20,0.50,0.00,42,24,1.0,1.0,1.0,1.0
amftas,amfta_s,label_flipping,0.20,0.50,0.00,42,25,1.0,1.0,1.0,1.0
amftas,amfta_s,label_flipping,0.20,0.50,0.00,123,1,0.6263,0.7702145975527269,0.6263,1.0
amftas,amfta_s,label_flipping,0.20,0.50,0.00,123,2,0.90345,0.9284364229329578,0.8664314864771391,1.0
amftas,amfta_s,label_flipping,0.20,0.50,0.00,123,3,0.9441,0.9572793274742072,0.9180592201700382,1.0
amftas,amfta_s,label_flipping,0.20,0.50,0.00,123,4,1.0,1.0,1.0,1.0
amftas,amfta_s,label_flipping,0.20,0.50,0.00,123,5,1.0,1.0,1.0,1.0
amftas,amfta_s,label_flipping,0.20,0.50,0.00,123,6,0.9999,0.9999201724275565,0.9998403575989783,1.0
amftas,amfta_s,label_flipping,0.20,0.50,0.00,123,7,1.0,1.0,1.0,1.0
amftas,amfta_s,label_flipping,0.20,0.50,0.00,123,8,0.9994,0.9995212256623045,0.9990429095549529,1.0
amftas,amfta_s,label_flipping,0.20,0.50,0.00,123,9,1.0,1.0,1.0,1.0
amftas,amfta_s,label_flipping,0.20,0.50,0.00,123,10,1.0,1.0,1.0,1.0
amftas,amfta_s,label_flipping,0.20,0.50,0.00,123,11,1.0,1.0,1.0,1.0
amftas,amfta_s,label_flipping,0.20,0.50,0.00,123,12,1.0,1.0,1.0,1.0
amftas,amfta_s,label_flipping,0.20,0.50,0.00,123,13,1.0,1.0,1.0,1.0
amftas,amfta_s,label_flipping,0.20,0.50,0.00,123,14,1.0,1.0,1.0,1.0
amftas,amfta_s,label_flipping,0.20,0.50,0.00,123,15,1.0,1.0,1.0,1.0
amftas,amfta_s,label_flipping,0.20,0.50,0.00,123,16,1.0,1.0,1.0,1.0
amftas,amfta_s,label_flipping,0.20,0.50,0.00,123,17,1.0,1.0,1.0,1.0
amftas,amfta_s,label_flipping,0.20,0.50,0.00,123,18,1.0,1.0,1.0,1.0
amftas,amfta_s,label_flipping,0.20,0.50,0.00,123,19,1.0,1.0,1.0,1.0
amftas,amfta_s,label_flipping,0.20,0.50,0.00,123,20,1.0,1.0,1.0,1.0
