round,accuracy,f1,precision,recall,num_benign,num_borderline,num_suspect,mean_trust
1,0.6263,0.7702145975527269,0.6263,1.0,45,8,19,0.5674918104549351
2,1.0,1.0,1.0,1.0,42,15,19,0.5414918169302032
3,0.6267,0.7704040838919983,0.6265506202480993,1.0,49,9,18,0.5814761318465955
4,1.0,1.0,1.0,1.0,48,11,18,0.5660489201850615
5,0.7492,0.833178129572968,0.7140576901151522,1.0,50,8,17,0.5962367902235712
6,1.0,1.0,1.0,1.0,43,12,21,0.5506540223507578
7,0.88145,0.9135397294242059,0.8408404376720146,1.0,41,17,22,0.5399563683196169
8,1.0,1.0,1.0,1.0,41,12,19,0.5518470423402355
9,1.0,1.0,1.0,1.0,20,39,21,0.469166314724622
10,1.0,1.0,1.0,1.0,34,15,31,0.48670185042862446
11,0.9904,0.9923942322928221,0.9849032866802957,1.0,42,17,19,0.5376108882438003
12,1.0,1.0,1.0,1.0,42,12,23,0.5384120038442427
13,1.0,1.0,1.0,1.0,33,16,25,0.48793617744867757
14,1.0,1.0,1.0,1.0,26,13,41,0.44908311173167464
15,0.99955,0.9996408762619209,0.9992820103709613,1.0,38,14,27,0.5058286705648882
16,1.0,1.0,1.0,1.0,31,7,36,0.48392507528790796
17,0.97585,0.9810847855884081,0.9628718579444999,1.0,35,17,20,0.5050246260831212
18,1.0,1.0,1.0,1.0,41,16,19,0.5526934774906961
19,1.0,1.0,1.0,1.0,24,32,24,0.46933260183725534
20,1.0,1.0,1.0,1.0,21,20,34,0.4499834326306211
21,1.0,1.0,1.0,1.0,23,28,25,0.46074985826109405
22,0.9984,0.9987242863977036,0.99745182353878,1.0,36,15,29,0.4793372477013177
23,1.0,1.0,1.0,1.0,36,12,31,0.5063456727242986
24,0.9894,0.9916086130462318,0.983356884911289,1.0,38,12,23,0.5339702666450054
25,1.0,1.0,1.0,1.0,38,10,24,0.5384492594705237
