round,accuracy,f1,precision,recall,num_benign,num_borderline,num_suspect,mean_trust
1,0.8817,0.9126227934116258,0.8392881401983426,1.0,50,16,7,0.6062954736517305
2,0.63405,0.7715026068496145,0.628005082592122,1.0,53,14,6,0.6188020410138346
3,0.99865,0.9989086058450221,0.9978195913752725,1.0,48,24,4,0.623770463673942
4,0.95655,0.9660294750009772,0.9342911153119092,1.0,39,28,7,0.6206217087435061
5,1.0,1.0,1.0,1.0,47,8,14,0.6310618610345939
6,1.0,1.0,1.0,1.0,43,23,6,0.624865357071418
7,1.0,1.0,1.0,1.0,50,9,17,0.6083619219041675
8,1.0,1.0,1.0,1.0,55,12,8,0.6444666984803575
9,1.0,1.0,1.0,1.0,48,9,20,0.6107041974922124
10,1.0,1.0,1.0,1.0,42,11,16,0.6052015475173355
11,1.0,1.0,1.0,1.0,52,12,14,0.6469283921533476
12,1.0,1.0,1.0,1.0,47,5,19,0.6034926815503889
13,1.0,1.0,1.0,1.0,45,25,7,0.620668009852185
14,1.0,1.0,1.0,1.0,40,8,25,0.5470438615577404
15,1.0,1.0,1.0,1.0,53,9,15,0.6525651704061259
16,1.0,1.0,1.0,1.0,48,7,20,0.5981488085914264
17,1.0,1.0,1.0,1.0,39,11,22,0.55502977995129
18,1.0,1.0,1.0,1.0,43,17,18,0.5741922704342536
19,1.0,1.0,1.0,1.0,30,14,26,0.5066296907977409
20,1.0,1.0,1.0,1.0,49,18,8,0.6319101703429086
21,1.0,1.0,1.0,1.0,34,15,24,0.5306092901078403
22,1.0,1.0,1.0,1.0,30,16,26,0.4953012592962295
23,1.0,1.0,1.0,1.0,55,3,20,0.6383936562500393
24,1.0,1.0,1.0,1.0,40,11,20,0.5607706419745662
25,1.0,1.0,1.0,1.0,31,5,38,0.4695403545248049
