round,accuracy,f1,precision,recall,num_benign,num_borderline,num_suspect,mean_trust
1,0.6178,0.7637532451477316,0.6178,1.0,55,11,7,0.6452929979480597
2,0.61825,0.763965746437073,0.6180781351608223,1.0,54,15,4,0.6458288140256365
3,0.77235,0.8444216641038783,0.730735111479094,1.0,51,21,4,0.6489663446981235
4,0.8364,0.883076043453402,0.7906321986178654,1.0,49,20,5,0.6569425369032583
5,0.99885,0.999070143521326,0.9981420147023184,1.0,44,21,4,0.6562964477621823
6,0.99865,0.9989086058450221,0.9978195913752725,1.0,47,19,6,0.6583675597965575
7,1.0,1.0,1.0,1.0,47,25,4,0.6570559852338015
8,1.0,1.0,1.0,1.0,50,19,6,0.6719678881095327
9,1.0,1.0,1.0,1.0,50,21,6,0.665028368995144
10,1.0,1.0,1.0,1.0,44,21,4,0.6558835695105999
11,1.0,1.0,1.0,1.0,68,5,5,0.6865150283903225
12,1.0,1.0,1.0,1.0,46,19,6,0.6728249411569457
13,1.0,1.0,1.0,1.0,49,24,4,0.6689263863000147
14,1.0,1.0,1.0,1.0,44,23,6,0.6410501118344935
15,1.0,1.0,1.0,1.0,64,8,5,0.6794185547934184
16,1.0,1.0,1.0,1.0,48,23,4,0.6625484365220448
17,1.0,1.0,1.0,1.0,58,9,5,0.6933213010224776
18,1.0,1.0,1.0,1.0,50,9,19,0.6523436519895888
19,1.0,1.0,1.0,1.0,61,4,5,0.6818303597481126
20,1.0,1.0,1.0,1.0,46,5,24,0.6277890994172648
21,1.0,1.0,1.0,1.0,45,24,4,0.6416644748030681
22,1.0,1.0,1.0,1.0,63,3,6,0.6808142133353686
23,1.0,1.0,1.0,1.0,48,4,26,0.6136150249032862
24,1.0,1.0,1.0,1.0,44,21,6,0.6552989531737098
25,1.0,1.0,1.0,1.0,55,14,5,0.6782409017414921
