round,accuracy,f1,precision,recall,num_benign,num_borderline,num_suspect,mean_trust
1,0.61705,0.7631798645681952,0.61705,1.0,51,12,12,0.6091850207947691
2,0.61705,0.7631798645681952,0.61705,1.0,44,23,9,0.5959352857328435
3,0.93645,0.9510268562401264,0.9066265060240963,1.0,41,23,7,0.6010857633398953
4,0.7911,0.8552321552321552,0.7470791210121678,1.0,44,17,11,0.605722416946719
5,1.0,1.0,1.0,1.0,43,16,16,0.5919976978669105
6,0.95085,0.9616988116111436,0.9262233563494446,1.0,59,8,10,0.6340466505868996
7,0.9948,0.9958040829500524,0.9916432302129369,1.0,41,18,12,0.6113383224261842
8,1.0,1.0,1.0,1.0,41,18,15,0.5901994241006422
9,1.0,1.0,1.0,1.0,40,21,11,0.6084375822294459
10,1.0,1.0,1.0,1.0,38,7,24,0.5568265654118314
11,0.99495,0.9959246257515233,0.9918823340298988,1.0,54,9,14,0.6246752714514209
12,1.0,1.0,1.0,1.0,48,7,19,0.5799260141144981
13,1.0,1.0,1.0,1.0,42,12,24,0.5660439387181483
14,1.0,1.0,1.0,1.0,24,33,21,0.46122387636645357
15,1.0,1.0,1.0,1.0,31,18,28,0.4789461468478208
16,1.0,1.0,1.0,1.0,44,18,14,0.5596895050757659
17,1.0,1.0,1.0,1.0,36,14,22,0.5207532085444861
18,1.0,1.0,1.0,1.0,20,11,39,0.41789761008389936
19,1.0,1.0,1.0,1.0,16,35,19,0.46416362752527474
20,1.0,1.0,1.0,1.0,33,19,26,0.48292526658357704
21,1.0,1.0,1.0,1.0,22,12,45,0.4170108257886613
22,1.0,1.0,1.0,1.0,17,35,26,0.4234551357354741
23,1.0,1.0,1.0,1.0,34,20,21,0.5080551079910924
24,1.0,1.0,1.0,1.0,19,25,34,0.41675725616767945
25,1.0,1.0,1.0,1.0,19,6,46,0.39386860981822996
