round,accuracy,f1,precision,recall,num_benign,num_borderline,num_suspect,mean_trust
1,0.61705,0.7631798645681952,0.61705,1.0,58,7,10,0.6410066740466656
2,0.61705,0.7631798645681952,0.61705,1.0,51,16,10,0.617068617353898
3,0.61985,0.76450363946105,0.6187825912555155,1.0,45,20,10,0.6067397706939512
4,0.6836,0.7959367945823927,0.661042369703787,1.0,44,18,10,0.6137701521929843
5,0.97995,0.9840130765857354,0.9685292732695024,1.0,46,19,10,0.6214919733819393
6,0.9771,0.9817820206841686,0.9642159543714353,1.0,56,13,11,0.6338536407200186
7,0.99205,0.9935992914939011,0.98728,1.0,46,14,11,0.6373573036244081
8,1.0,1.0,1.0,1.0,45,18,10,0.6315719287482425
9,0.99885,0.9990690143695609,0.9981397605952766,1.0,52,11,11,0.647888903868601
10,1.0,1.0,1.0,1.0,41,12,18,0.6128917032617126
11,1.0,1.0,1.0,1.0,47,18,13,0.6165801367335522
12,1.0,1.0,1.0,1.0,41,10,23,0.5794956554845019
13,1.0,1.0,1.0,1.0,51,18,13,0.6270765843941349
14,1.0,1.0,1.0,1.0,45,13,20,0.6141413450427439
15,1.0,1.0,1.0,1.0,58,13,7,0.6666823316242618
16,1.0,1.0,1.0,1.0,39,12,25,0.5332745156049152
17,1.0,1.0,1.0,1.0,47,13,15,0.5737392408954712
18,1.0,1.0,1.0,1.0,44,7,24,0.5368861689722549
19,1.0,1.0,1.0,1.0,46,13,13,0.5870634004932488
20,1.0,1.0,1.0,1.0,44,12,24,0.5315114136723269
21,1.0,1.0,1.0,1.0,31,21,27,0.4631501784464893
22,1.0,1.0,1.0,1.0,38,13,26,0.5065823857621019
23,1.0,1.0,1.0,1.0,13,36,29,0.42390754635337247
24,1.0,1.0,1.0,1.0,13,35,29,0.4209390594214248
25,1.0,1.0,1.0,1.0,19,19,36,0.4197927237059709
