round,accuracy,f1,precision,recall,num_benign,num_borderline,num_suspect,mean_trust
1,0.6263,0.7702145975527269,0.6263,1.0,46,12,10,0.6169734171975182
2,0.90345,0.9284364229329578,0.8664314864771391,1.0,48,19,8,0.6122727057683172
3,0.9441,0.9572793274742072,0.9180592201700382,1.0,44,19,9,0.6146209278898322
4,1.0,1.0,1.0,1.0,48,16,10,0.6216945333689274
5,1.0,1.0,1.0,1.0,49,15,10,0.6230855836292039
6,0.9999,0.9999201724275565,0.9998403575989783,1.0,50,20,9,0.6286394697923954
7,1.0,1.0,1.0,1.0,52,7,20,0.6164584940334045
8,0.9994,0.9995212256623045,0.9990429095549529,1.0,49,4,18,0.628216029681424
9,1.0,1.0,1.0,1.0,53,11,18,0.5930480480308044
10,1.0,1.0,1.0,1.0,37,24,16,0.5219802455804413
11,1.0,1.0,1.0,1.0,47,12,18,0.5739941774260936
12,1.0,1.0,1.0,1.0,41,16,19,0.5309168677533025
13,1.0,1.0,1.0,1.0,38,15,19,0.5406462602707839
14,1.0,1.0,1.0,1.0,30,24,26,0.46599736296400573
15,1.0,1.0,1.0,1.0,30,17,32,0.4690612592769938
16,1.0,1.0,1.0,1.0,40,17,17,0.5553769856035021
17,1.0,1.0,1.0,1.0,31,13,29,0.47756155694611624
18,1.0,1.0,1.0,1.0,13,26,38,0.4078352971296537
19,1.0,1.0,1.0,1.0,24,13,42,0.42133660798962486
20,1.0,1.0,1.0,1.0,27,22,27,0.4520782887649473
21,1.0,1.0,1.0,1.0,21,11,41,0.40768536792334087
22,1.0,1.0,1.0,1.0,27,21,30,0.44773229193201275
23,1.0,1.0,1.0,1.0,28,12,41,0.4153953928799651
24,1.0,1.0,1.0,1.0,30,17,29,0.4449806924744863
25,1.0,1.0,1.0,1.0,29,6,36,0.44715644403817173
