round,accuracy,f1,precision,recall,num_benign,num_borderline,num_suspect,mean_trust
1,0.99915,0.9993125480205426,0.9986260405722137,1.0,44,21,8,0.5843063808730099
2,0.90375,0.9277321019634343,0.8652055178208808,1.0,40,26,7,0.6007024718378657
3,0.99995,0.9999595354671631,0.9999190742089504,1.0,47,21,8,0.5971407269695413
4,0.99915,0.9993125480205426,0.9986260405722137,1.0,44,23,7,0.5933395020666883
5,1.0,1.0,1.0,1.0,44,7,18,0.5849494346390178
6,1.0,1.0,1.0,1.0,36,27,9,0.5919237635109603
7,0.9991,0.9992710779946545,1.0,0.9985432178698608,47,10,19,0.5811033171477186
8,0.99955,0.9996359370575624,0.999272139102305,1.0,50,8,17,0.6272581157402279
9,1.0,1.0,1.0,1.0,51,7,19,0.6042490364430326
10,1.0,1.0,1.0,1.0,38,24,7,0.6046337907779392
11,1.0,1.0,1.0,1.0,48,9,21,0.5653065887725754
12,1.0,1.0,1.0,1.0,40,23,8,0.5981284451543041
13,1.0,1.0,1.0,1.0,45,8,24,0.5488633571512532
14,1.0,1.0,1.0,1.0,43,13,17,0.562133654572998
15,1.0,1.0,1.0,1.0,39,14,24,0.5315206476108504
16,1.0,1.0,1.0,1.0,50,4,21,0.6128317028636466
17,1.0,1.0,1.0,1.0,47,6,19,0.5751604007787221
18,1.0,1.0,1.0,1.0,32,10,36,0.4759225132627924
19,1.0,1.0,1.0,1.0,44,6,20,0.5781111315330535
20,1.0,1.0,1.0,1.0,42,9,24,0.544389898967567
21,1.0,1.0,1.0,1.0,31,7,35,0.4819542510971016
22,1.0,1.0,1.0,1.0,48,5,19,0.5877237381260623
23,1.0,1.0,1.0,1.0,37,11,30,0.4997744707946829
24,1.0,1.0,1.0,1.0,27,6,38,0.454390412273912
25,1.0,1.0,1.0,1.0,50,6,18,0.5895907526076114
